Protein_names	Gene_names	UniprotID	LFQ_intensity_1_1	LFQ_intensity_1_2	LFQ_intensity_2_1	LFQ_intensity_2_2	LFQ_intensity_20_1	LFQ_intensity_20_2	LFQ_intensity_22_1	LFQ_intensity_22_2	LFQ_intensity_28_1	LFQ_intensity_28_2	LFQ_intensity_29_1	LFQ_intensity_29_2	LFQ_intensity_31_1	LFQ_intensity_31_2	LFQ_intensity_33_1	LFQ_intensity_33_2	LFQ_intensity_36_1	LFQ_intensity_36_2	LFQ_intensity_37_1	LFQ_intensity_37_2	LFQ_intensity_39_1	LFQ_intensity_39_2	LFQ_intensity_4_1	LFQ_intensity_4_2	LFQ_intensity_25_1	LFQ_intensity_25_2	LFQ_intensity_8_1	LFQ_intensity_8_2	LFQ_intensity_9_1	LFQ_intensity_9_2__
"Stomatin-like protein 2, mitochondrial"	Stoml2	Q4FZT0	10294	26369	39734	38841	32665	38409	35280	36264	35404	44872	25002	19137	31296	26821	44494	44637	33426	33370	26982	34484	30743	29909	42086	44975	36034	35505	32277	33861	72091	58489
Protein phosphatase methylesterase 1	Ppme1	Q4FZT2	0	3711.1	7679.1	7245.9	3329.1	3503.4	9022.7	10346	7837.6	9818.2	4253.7	3739.8	7532.8	9825.2	4547.8	7016.5	7881.9	5822.6	9270.5	9140.1	5438	7268.7	4269.2	0	8805.1	6223.4	5315.4	5604.6	14969	15599
26S proteasome non-ATPase regulatory subunit 2	Psmd2	Q4FZT9	30049	22654	24727	18621	63941	61618	50099	56191	43012	55141	54703	59655	26174	26446	45274	44912	50389	47659	51833	52766	59058	48346	37780	47894	52139	53712	46475	50329	34228	64577
"Keratin, type II cytoskeletal 6A"	Krt6a	Q4FZU2	0	0	0	0	17540	21226	17819	21075	0	0	21349	22743	10777	9869.5	0	0	27305	28159	84177	77134	5947.4	0	9566.4	8858	21751	15478	76798	97849	35830	30028
Signal recognition particle receptor subunit beta	Srprb	Q4FZX7	0	113980	5557.9	8070	3001.4	5173.2	0	0	15349	10165	5839.9	5984.1	0	0	4011.9	2525.6	4194.7	6624.1	0	0	3276.7	4565.9	17821	5162.7	1188	0	4066.4	0	43053	27490
EF-hand domain-containing protein D2	Efhd2	Q4FZY0	12192	20117	32885	26141	5013.1	4630.3	12915	13523	5640.9	7024.5	9677.5	9865.7	0	5464.6	12057	10740	12672	16583	13987	12535	5023.2	5886.6	6320.2	7968.4	31847	43910	25675	19364	57141	54581
Uncharacterized protein KIAA0930 homolog		Q4G008	0	0	3893.2	0	17417	17278	22496	23492	0	2275.9	27217	27467	9442.3	10515	0	2243.7	7543	7085.2	25613	27884	20182	20604	0	0	18730	17375	18310	19160	0	0
Malignant T-cell-amplified sequence 1	Mcts1	Q4G009	11725	14649	12243	18742	7046.9	0	20807	19861	6952.3	6790.4	17108	10674	0	0	14002	10460	16386	18747	0	10875	19610	19471	0	7426.2	19880	17293	18484	13965	0	0
UPF0562 protein C7orf55 homolog		Q4G012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nischarin	Nisch	Q4G017	0	0	0	0	6626.5	0	7154.8	10027	7658.1	9553.7	12263	13825	13632	0	0	0	11543	10324	8573	4835.1	15911	15764	0	0	6814.9	7244.8	0	0	0	0
Tyrosyl-DNA phosphodiesterase 1	Tdp1	Q4G056	0	0	0	0	10753	9523.5	0	0	3389.5	0	16324	13746	8671.2	7902.5	1468.7	0	0	0	6362.4	7208	0	0	40353	40471	0	0	0	0	184980	171670
Eukaryotic translation initiation factor 3 subunit B	Eif3b	Q4G061	8204.4	1778.5	16326	16082	48681	46932	48932	48395	12446	33862	41516	44810	34590	33924	46269	55152	45651	43371	43147	49728	55273	50414	54243	42572	38862	47583	39399	34511	71141	68247
Cysteine-rich with EGF-like domain protein 2	Creld2	Q4G063	0	0	0	0	0	0	0	0	1634.4	3861	0	0	0	0	9532.2	11497	0	0	0	0	0	0	0	0	0	0	0	0	11157	13325
Leukocyte elastase inhibitor A	Serpinb1a	Q4G075	8151.6	14788	18338	23166	21560	19339	18864	18061	11594	22000	4312.1	5596.1	11614	12007	45106	45150	17071	17500	15938	20933	12129	12340	12429	4850.6	20086	20259	15134	14795	69702	74314
Actin-related protein 2/3 complex subunit 5	Arpc5	Q4KLF8	16562	7031.5	25782	17175	38830	35699	60049	64075	34220	51516	42186	39257	29051	16455	27248	20564	52039	47990	46766	49117	55674	52512	12744	4922.3	56830	54057	46044	56648	46926	55748
Paraspeckle component 1	Pspc1	Q4KLH4	28799	46865	34138	41370	28135	28427	25687	31721	16329	49200	28156	20634	47511	43088	21113	45311	38190	36540	26470	26069	38198	37219	16073	33229	35010	33794	23170	19361	83985	83773
Arf-GAP domain and FG repeat-containing protein 1	Agfg1	Q4KLH5	0	0	0	0	12093	8206.4	6298.1	13141	4408.5	0	9619.6	0	7270.7	0	3808.8	7552	8761.9	8198	11355	5847.6	6935.4	6135.6	0	0	0	16510	8567.5	0	32058	30260
Phosducin-like protein 3	Pdcl3	Q4KLJ8	0	0	0	0	0	0	0	2006.3	0	0	10454	10229	0	0	0	0	5551.2	6200.1	1764.9	0	0	2946.9	0	0	0	0	0	3881	0	0
Transcription elongation factor A protein 1	Tcea1	Q4KLL0	0	0	22049	13859	16086	18028	9284.1	8627.9	22380	25271	56172	40120	32909	32783	25094	20950	14177	22199	31386	41965	21639	24904	8718.5	17565	24247	23412	10230	12065	19019	24981
Transmembrane 9 superfamily member 4	Tm9sf4	Q4KLL4	0	0	0	0	0	0	3874.4	4412.1	0	0	3993.2	4741.2	0	0	4892.2	10614	7221	6731	3655.5	4114.9	4427.2	0	0	0	3171.2	3898.6	3874.5	0	0	13198
Prolyl 3-hydroxylase 2	Leprel1	Q4KLM6	0	0	0	0	24169	25256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonucleoside-diphosphate reductase subunit M2	Rrm2	Q4KLN6	0	0	0	0	6187.6	0	0	0	0	0	0	0	0	0	11828	10427	2197.7	3038.3	0	0	0	0	0	0	0	0	0	0	8151.5	8853
ADP-ribosylation factor GTPase-activating protein 3	Arfgap3	Q4KLN7	15348	14381	20302	19328	15936	14242	19836	0	25653	31119	11534	13373	15924	16990	10911	10957	28227	27756	11537	0	26270	24975	0	0	16698	16828	16255	16923	0	46796
"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"	Dhtkd1	Q4KLP0	4318.1	0	0	0	0	0	5887.5	4138.5	5616.9	4664.6	4135.9	3351.7	0	7479.7	0	0	5462.8	4503.1	7058.5	5116.9	3878.2	6943.4	0	6879.8	4234.5	664.36	3978.1	0	0	0
Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing)	Dak	Q4KLZ6	0	0	1904.3	0	7959.2	7378.2	10630	9703.5	0	0	10296	8655.2	7584.6	6608.6	12680	11456	5242.8	11912	0	3114.7	7028.8	7371.4	46080	44317	4577.3	2975.1	13218	12161	21905	24915
LIM domain-containing protein 2	Limd2	Q4KM31	0	0	0	0	9906.1	8557.2	7671.6	5716.6	0	0	17990	21290	0	0	1863.4	1130.9	10985	7576.5	10253	10763	7160	6272	5144.2	4883.7	3124.5	0	13051	10590	48743	51280
Proteasome subunit beta type-10	Psmb10	Q4KM35	9777.8	0	0	0	6963.6	5187.2	8099.8	8706.4	0	0	8397.5	8394.7	0	0	0	0	8193.9	8178.6	5852.9	5453.5	9613.2	5103.3	53479	47510	15318	12937	10276	13429	0	0
"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed"	Yars	Q4KM49	2974.6	0	9386.9	10471	13409	15832	9295.4	9599.4	8906.4	7877.5	8187.4	7253.4	3283.4	5754.1	12474	11239	8594.5	7030.1	915.9	6461.5	6857.4	5504.6	10426	12073	4394	5612.3	4917.2	3522.4	23857	30815
Cleavage and polyadenylation specificity factor subunit 5	Nudt21	Q4KM65	14535	22494	11917	23552	11928	11667	10486	10841	17707	7629	11735	13118	4914.9	12930	13394	8610.1	19119	18892	9733.1	12099	16190	15864	18414	14167	14402	17005	11130	12990	6431.4	11063
UMP-CMP kinase	Cmpk1	Q4KM73	17844	41375	40068	43950	38176	40472	53067	60565	45633	44976	34899	34759	43705	39548	39563	31112	53486	54287	42070	42422	50669	47883	54402	52326	55844	50563	45177	47910	62522	75671
Vesicle-trafficking protein SEC22b	Sec22b	Q4KM74	7994	41585	46088	43968	41831	38554	64545	62723	87166	110850	42763	46833	53916	62837	41790	42317	84131	85673	65580	63300	73599	77883	33460	19022	62544	69968	68600	72476	37552	25674
Mitochondrial fission factor	Mff	Q4KM98	17527	7513.3	31383	25474	40522	36789	46210	41872	53953	54655	33725	33678	51928	48088	19216	18422	38577	43470	69985	74842	41641	37431	73405	58992	42546	34954	46805	51240	26507	18900
UV excision repair protein RAD23 homolog B	Rad23b	Q4KMA2	22291	40723	4556.7	17324	20409	18196	18425	16277	0	0	2198.5	1580.6	9734.4	11250	26376	24569	12691	8854.7	6735.4	5197.5	18629	19239	64124	57413	26346	25590	16519	14753	7027.1	9935.8
Protein MEMO1	Memo1	Q4QQR9	0	0	0	0	0	0	34482	32651	9727.5	0	6391.8	9960.7	0	0	805.19	0	18904	15490	13040	14504	23566	22738	0	0	26548	23823	21335	19245	0	0
Protein OSCP1	Oscp1	Q4QQS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7274.9	8145.3	0	0	0	0	0	0
CUGBP Elav-like family member 1	Celf1	Q4QQT3	0	0	0	0	8408.7	12618	1445.3	5046.5	0	10187	0	15070	0	0	24887	21944	15072	16923	13211	15560	10317	11377	1877.1	3339.6	3275.5	5733.1	18057	11358	20677	21017
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	Ppp2r1b	Q4QQT4	18685	51662	35224	49307	46437	51988	67961	69940	67441	74117	55037	52284	69052	53974	49915	58002	55059	51192	59267	64874	53056	56317	46330	23009	66456	66089	37293	41170	54681	50765
Survival of motor neuron-related-splicing factor 30	Smndc1	Q4QQU6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein FAM162A	Fam162a	Q4QQV3	0	0	0	0	15239	12510	10488	10690	6289.8	7928.3	10140	10585	9010	5471.7	13688	11413	7179.8	8267.9	14359	16735	9473.4	15134	0	3366.3	8388.9	7751.8	3763.4	0	3710.8	4158.5
Charged multivesicular body protein 5	Chmp5	Q4QQV8	126280	44658	20577	49362	38600	33447	62026	70085	7961.3	0	120670	150380	83504	80186	6254.5	0	92267	0	86100	96515	87560	0	97541	93847	157750	150470	98211	0	12325	17780
Histone deacetylase 1	Hdac1	Q4QQW4	4401	3259.8	6425.9	8243.9	14723	13031	16989	16205	7198.2	6707	11279	13376	0	0	15174	20590	21068	23268	5462	7229.4	14545	16790	3588.3	5172.7	17555	22095	16223	13153	14882	14499
Putative phospholipase B-like 2	Plbd2	Q4QQW8	9880	0	11063	7063.5	20096	0	0	2374.1	0	2543.2	0	0	1861.7	0	0	0	10230	7528.8	0	0	0	8257	13359	11774	5676.6	0	0	1851.7	0	0
Tubulin beta-3 chain	Tubb3	Q4QRB4	81529	54046	50067	83372	30250	4639.3	93610	102480	111390	154660	27155	6253.9	25652	33336	58245	41074	153490	124340	60268	47940	93220	102130	56458	89684	129150	135790	89125	82543	0	0
C-type mannose receptor 2	Mrc2	Q4TU93	32256	21397	8113.7	16321	12474	14893	21920	26968	27914	24634	39144	38356	31597	34296	5710.2	6501.9	47097	42011	31684	27482	44287	40176	0	5900.1	19861	18462	33354	33566	4609.3	22178
"WD repeat-containing protein 61;WD repeat-containing protein 61, N-terminally processed"	Wdr61	Q4V7A0	0	0	20322	441920	58763	74447	47310	96296	586540	659730	0	83474	20994	0	83521	76613	65809	48290	0	39190	69316	51001	13434	13542	85104	54576	60079	128810	62802	0
GMP synthase [glutamine-hydrolyzing]	Gmps	Q4V7C6	33426	111800	47594	66767	72518	72255	70428	72319	82593	76680	51775	50717	84051	74226	63731	65129	79356	81487	66880	73816	84664	81057	8413.7	10904	70121	74033	81633	75523	205570	93442
Actin-related protein 3	Actr3	Q4V7C7	191060	265320	196290	199710	210370	220090	281030	279050	235440	322220	201080	220490	230700	185810	183070	168240	239890	242870	283620	282710	206680	237710	113520	122970	278430	267120	208720	213070	108590	133450
Leucine-rich repeat flightless-interacting protein 2	Lrrfip2	Q4V7E8	0	0	0	0	0	1468.3	0	0	0	0	0	2818.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10170
PIH1 domain-containing protein 1	Pih1d1	Q4V7F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17641	10401
Collectin-12	Colec12	Q4V885	0	2176.7	8533.1	7968.5	0	0	0	0	4362.9	4066.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA polymerase II-associated factor 1 homolog	Paf1	Q4V886	0	0	0	0	2200.4	29354	0	0	0	0	0	2070.1	0	1250.7	0	0	1870.5	3943.1	0	0	950.74	2387.8	5257.9	5761.9	0	0	0	0	7615.2	12152
"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase"	Tmem55a	Q4V888	0	0	5755.1	4685.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPALPP motifs-containing protein 1	Gpalpp1	Q4V893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14761	12910
"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed"	Rbmx	Q4V898	16754	34883	33498	41750	1896.2	0	23695	19785	27088	27678	2402.4	1573	8034.9	10039	12927	9909.1	43787	32600	8753.2	10665	16938	17582	0	0	20053	17492	15424	21217	0	0
Oxidation resistance protein 1	Oxr1	Q4V8B0-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18883	19857	0	0	0	0	0	0
Centromere/kinetochore protein zw10 homolog	Zw10	Q4V8C2	0	0	0	0	21837	18996	10700	9601.1	4409.5	0	18017	15267	8874.1	0	16038	14908	11157	11683	8517.1	0	14654	15424	8838.8	0	0	14252	8221.8	7620.5	44371	49874
Echinoderm microtubule-associated protein-like 1	Eml1	Q4V8C3-2	0	10536	14219	7288.1	0	0	8669.7	8122	9963.9	16982	16638	22691	13989	15609	0	1541.3	7727.3	0	12768	14763	9680.8	9838.2	0	0	0	6126.5	9536.3	14419	4613.1	10362
Interferon-inducible double-stranded RNA-dependent protein kinase activator A	Prkra	Q4V8C7	21196	28376	41824	49916	33796	27199	38532	37154	31145	36338	32845	34267	51411	56903	32384	32495	29181	36830	41335	45791	28068	29339	42311	19046	24653	26394	31202	31223	19526	20166
Parafibromin	Cdc73	Q4V8C8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydroxysteroid dehydrogenase-like protein 2	Hsdl2	Q4V8F9	71733	140920	273210	227710	105180	101330	133070	92453	0	0	0	0	370520	349390	185940	201030	0	132220	176940	196650	0	131050	0	0	175180	372590	0	0	0	0
EH domain-containing protein 2	Ehd2	Q4V8H8	506310	428510	346600	356900	161140	171460	316680	300590	441060	431490	277340	260370	434110	405250	203200	201000	278820	272330	347320	358110	277950	263380	233350	237530	340970	326840	320330	338120	20328	15646
Endothelial protein C receptor	Procr	Q4V8I1	20504	20928	17722	14637	0	0	7756.9	9720.5	18323	22491	0	0	29407	31382	0	0	0	15603	10556	0	3908	9932.6	0	5334	14116	10823	7980.8	8541.9	0	0
Glycerol-3-phosphate acyltransferase 3	Agpat9	Q4V8J4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18459	18032	0	0	0	0	0	0
Metalloreductase STEAP4	Steap4	Q4V8K1	0	0	0	0	0	0	17187	17642	27522	0	0	0	0	0	0	0	0	0	3355.2	0	0	2944.5	0	0	0	14496	27699	31984	0	0
Beta-catenin-like protein 1	Ctnnbl1	Q4V8K2	2749.7	0	3553.9	9424.1	10149	10573	5574.9	5954.1	5461.9	6534.7	3845	0	9355	7020.8	9145.4	7329.7	7172.6	13861	3726.8	3527.9	6464.8	3451.1	2338.6	5041.4	4947.4	8719	6822.1	8226.5	0	2221.9
Ubiquitin carboxyl-terminal hydrolase 7	Usp7	Q4VSI4	25094	21525	26543	26830	70763	63926	43695	43713	51318	54167	50063	52756	65269	49683	42629	46980	47584	40516	43080	49905	47919	58941	66801	60569	53069	50718	28880	30207	78869	74092
Phenylalanine--tRNA ligase alpha subunit	Farsa	Q505J8	13687	214640	20972	30137	49239	49742	48717	50504	51300	51394	62024	56062	55026	64489	43408	47311	57220	57129	49031	48031	59513	57693	67280	67789	45852	38752	26734	32433	169090	159850
ATPase family AAA domain-containing protein 1	Atad1	Q505J9	0	0	0	0	9988.5	7496.1	6091.3	3778.8	0	0	8855.2	15144	5137.8	5831	2161.1	0	8401.9	9243.6	17843	0	10702	11506	16062	13073	4385.5	0	0	0	0	6101.7
H/ACA ribonucleoprotein complex non-core subunit NAF1	Naf1	Q52KK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beta-lactamase-like protein 2	Lactb2	Q561R9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148.3	0	0	0	0	1849.4	0	0	900.13	0	0	0	0
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"	Ndufa10	Q561S0	45734	21205	17922	19951	14266	19754	34478	35972	40620	42418	21706	21359	14250	17737	34733	32277	32058	33159	34781	32723	34363	30803	28085	29618	45886	42065	37810	38035	18782	2608.8
Ribosome biogenesis protein BOP1	Bop1	Q562C2	0	0	19182	24663	14350	11912	60151	65566	0	0	62424	66097	36096	35420	0	0	19825	32083	68495	78460	45142	17192	0	0	22602	22757	0	0	73433	57466
Leucine zipper transcription factor-like protein 1	Lztfl1	Q562C6	0	0	0	3040.7	2793.6	0	0	0	7209.1	0	14368	14021	15086	7653.5	0	0	0	4708.4	64706	0	0	59990	26950	25574	0	0	10945	0	0	7107.2
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	Adi1	Q562C9	0	13215	14743	13446	9222.9	4685.1	3057.8	0	0	3807	1323.6	0	1283.8	7350.1	10872	7318.2	2495.7	1969.5	0	0	0	1437.6	10595	8894	0	0	0	0	4651.5	4964.7
KDEL motif-containing protein 2	Kdelc2	Q566E5	11319	43324	21842	24116	18180	20117	27269	29744	3441.8	22290	31551	36035	43231	41227	24614	20299	35165	37080	29575	25712	29763	29927	31493	22817	30025	30532	26021	25911	17276	17156
Acyl-coenzyme A thioesterase THEM4	Them4	Q566R0	8410.6	7328.9	0	0	28567	26284	110010	127940	113370	103280	199180	184220	74738	74968	0	0	64629	58612	143550	160080	122530	124480	0	0	115200	120810	55772	0	0	0
Diphthamide biosynthesis protein 2	Dph2	Q568Y2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7904.5	48146
IST1 homolog	Ist1	Q568Z6	0	36662	16715	18892	59575	52918	100020	98124	93873	105570	127710	120160	75974	98220	14861	159890	75115	84141	80062	81666	104180	99198	28434	30738	83798	83749	46015	46801	174200	166080
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	Smarce1	Q56A18-2	0	0	0	0	0	0	0	0	0	0	17822	9229.8	0	0	0	0	10502	8994.5	11687	8548.2	6379.9	0	0	0	0	0	0	0	12859	0
Phosphoinositide-3-kinase-interacting protein 1	Pik3ip1	Q56A20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6476.2	5796.8	0	0	7249.9	7842.7	0	0	1770	0
Nuclear cap-binding protein subunit 1	Ncbp1	Q56A27	0	0	0	0	6859.2	7133.1	1825.4	0	0	11356	0	4855.9	6769	7554	0	6253.2	7007.2	6375	6292.1	0	6367.9	5743.2	0	0	7028.7	7358	6822.4	0	8805.2	10845
"Proline-, glutamic acid- and leucine-rich protein 1"	Pelp1	Q56B11	0	0	0	0	0	0	2743	3655.1	2586	4647.7	6859	0	0	0	0	1610.8	8441.7	9004.5	5499	5280	7478.7	3472.8	0	0	6385.1	4098.3	0	0	0	0
Serine/threonine-protein phosphatase 4 catalytic subunit	Ppp4c	Q5BJ92	5943.9	0	0	0	22585	23494	16180	0	55299	0	0	0	0	25774	0	13296	0	24218	23696	20288	0	15295	0	16530	0	15287	0	0	90559	89286
Golgi integral membrane protein 4	Golim4	Q5BJK8	0	0	0	0	3943.7	4159.4	2583.8	3385.2	0	0	1924.9	4172.1	656.93	0	1818.6	0	3823	4270	0	0	7369.8	7540.7	0	0	1773.4	1805.2	0	0	1280.4	0
Spliceosome-associated protein CWC15 homolog	Cwc15	Q5BJP2	0	0	0	0	0	0	7133.6	8207.2	0	0	9831.2	8309.1	0	0	0	6616.5	9923.3	11083	0	5213.6	9901.7	9869.6	0	27251	7792.5	8718.1	0	2808.9	21691	20862
Ubiquitin-fold modifier 1	Ufm1	Q5BJP3	25631	29585	49280	40238	81633	80845	95648	87371	73833	76650	84209	75217	59081	55194	30247	32278	75268	82734	71094	74760	98201	84679	24664	29215	76768	72390	61302	59944	0	0
Putative ATP-dependent RNA helicase DHX30	Dhx30	Q5BJS0	0	0	0	0	11125	9829.2	22525	42025	0	0	0	0	43742	35667	21846	0	20801	13490	31636	82930	11380	12130	0	0	18186	11819	21928	0	0	0
Wiskott-Aldrich syndrome protein family member 1	Wasf1	Q5BJU7	0	0	0	0	0	0	0	2945.9	0	0	0	0	0	0	0	0	3930.6	4003	0	0	7436	10447	0	0	11817	12043	0	0	0	0
"N-terminal Xaa-Pro-Lys N-methyltransferase 1;N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed"	Ntmt1	Q5BJX0	0	0	0	0	0	0	0	10320	13862	12571	20743	11855	0	0	0	1022.6	15516	16757	0	8007.2	15406	16933	6473.8	0	10136	9093.8	8935.4	11230	18425	24157
"Keratin, type I cytoskeletal 18"	Krt18	Q5BJY9	54058	202900	199710	220710	249530	257120	111400	118010	47339	44875	60630	73646	105960	93632	80514	79255	41131	44945	126000	120330	34467	50907	138910	115340	48611	49547	35511	37821	167200	107690
Hematological and neurological expressed 1-like protein	Hn1l	Q5BK20	0	0	0	0	0	0	0	0	0	0	0	7243.4	0	0	0	2369	2522	0	0	1488.5	0	5043.9	4254.3	3156.8	0	0	3694.3	3608.9	19124	17043
FAS-associated factor 2	Faf2	Q5BK32	0	0	4378.3	8114.3	0	0	22046	22135	0	14992	0	0	0	0	0	0	27394	32001	0	0	23352	18142	0	0	28141	29151	0	0	0	0
	Gstm4	Q5BK56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein Mpv17	Mpv17	Q5BK62	0	3495.1	6645.6	8758.3	0	5067.5	10021	0	9250.1	20374	0	0	16093	14641	0	0	16474	15448	8347.5	2947.9	7486.4	12909	0	0	0	0	0	8617.1	0	0
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial"	Ndufa9	Q5BK63	8016.8	14531	16477	14630	38915	41588	37288	37420	8778.6	20826	48481	43817	32940	33545	25193	33083	32877	34096	45678	57632	36887	35808	15753	23170	34054	32626	48891	48051	60031	40785
Prostaglandin reductase 2	Ptgr2	Q5BK81	6818	56546	100470	91926	61938	63558	139410	84506	0	5123.3	74536	76577	57775	55993	0	23819	52267	40340	85273	48644	51726	42201	80500	77389	79766	68254	35096	14530	14207	13859
Inhibitor of nuclear factor kappa-B kinase-interacting protein	Ikbip	Q5EAJ6	0	0	0	0	12892	11504	17638	17544	5879.4	7212.4	16659	16223	7614.5	3778	0	0	28986	29479	9723.7	7836.2	23689	28210	0	0	6581.4	10789	8014.2	8648	6075.1	5377.7
Inhibitor of nuclear factor kappa-B kinase-interacting protein	Ikbip	Q5EAJ6-2	0	0	0	0	0	0	0	0	1797.5	5690.9	4089.8	3329	5056.3	5619.7	949.36	0	0	0	0	0	0	0	0	0	0	0	0	1256.5	0	0
Ras-related protein Rab-18	Rab18	Q5EB77	6537.8	7978.2	9063.1	15479	34194	34264	18915	21619	14662	16269	29578	29705	25073	20560	32298	26480	20076	18759	21524	19224	29439	23313	37497	24950	20155	18842	29009	25385	25611	26465
NADH-cytochrome b5 reductase 1	Cyb5r1	Q5EB81	0	0	15257	36770	7620.5	8710.1	0	0	6586.5	10153	0	0	3978	0	9618.9	9444.2	11539	0	0	0	1220.9	0	43224	47749	0	0	0	0	6276.7	9868.7
Synaptobrevin homolog YKT6	Ykt6	Q5EGY4	0	0	0	0	0	0	4234.8	3856.8	0	0	4701	6951.3	0	0	0	0	0	2350.2	4286.1	4438.7	0	3365.7	0	0	0	0	3126.1	4659.7	0	0
Interferon regulatory factor 2-binding protein-like	Irf2bpl	Q5EIC4	0	0	11856	11827	13376	14296	16672	13668	17179	17755	16433	12127	31878	32214	9498	7270.4	16656	17252	14532	12647	10999	11055	11942	15883	0	9543.8	10505	21334	39695	41578
Rho guanine nucleotide exchange factor 2	Arhgef2	Q5FVC2	0	0	0	0	2879.6	1978.8	2155.7	856.17	8771.5	0	5951.2	3854.8	0	0	0	0	2440.2	3158.9	0	5050.7	2126.2	3081.8	0	2097.1	752.82	0	0	0	3732.4	2751.9
"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"	Acap2	Q5FVC7	0	0	1933.5	2593	8753.2	4422.5	9403.2	9999.3	11514	10869	7892.1	3751.5	0	0	3197.8	1742.1	8737	8302.3	9048.5	6757.4	9799.7	9326	0	0	19213	20176	14145	14406	0	0
Phospholipase D3	Pld3	Q5FVH2	0	0	18757	18000	19087	17646	7443.2	9700.7	8353.8	9944.8	0	7229.3	15357	16652	0	4941.7	8828.1	11284	7659.1	0	0	0	16537	16581	7991	8782.3	7510.9	0	0	5639.4
Leucine-rich repeat-containing protein 57	Lrrc57	Q5FVI3	0	0	0	4895.3	0	0	0	0	0	0	0	0	7981.4	3444.2	27359	0	0	0	0	3277.9	0	0	11115	11895	0	0	0	0	0	0
V-type proton ATPase subunit C 1	Atp6v1c1	Q5FVI6	0	0	2697.7	0	9626.1	8004.8	12464	12291	0	3551.7	0	5078.5	1362.1	0	8254.7	4432.9	12874	16341	4477.1	0	16792	12890	10994	11482	10421	24008	3238.1	1082.2	8055.9	11533
Intraflagellar transport protein 22 homolog	Ift22	Q5FVJ7	0	0	0	0	0	0	1688.5	0	0	0	0	0	0	0	0	0	6818.8	5664	0	0	3450.5	3547.2	0	0	0	0	0	0	0	0
Coiled-coil and C2 domain-containing protein 1B	Cc2d1b	Q5FVK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12908	20956	0	0	0	24855	70081
ER membrane protein complex subunit 8	Emc8	Q5FVL2	4002.8	0	910.22	0	1754.6	6338.4	4247.5	4770.4	5393.5	3885.2	0	3641.3	3461	5379.4	10515	9155.3	3071.5	1434.4	3231.2	0	9142	0	11002	13709	7445.6	7408.9	8890.2	10761	9930.1	8378.4
Non-POU domain-containing octamer-binding protein	Nono	Q5FVM4	45639	202530	97247	95620	99120	97495	131610	133240	206140	180500	165170	154970	231950	216550	107490	115730	167840	171010	168060	165250	136020	123040	56736	57124	107300	112470	118340	127340	146870	170060
