Protein_names	Gene_names	UniprotID	LFQ_intensity_R1_1	LFQ_intensity_R1_2	LFQ_intensity_R2_1	LFQ_intensity_R2_2	LFQ_intensity_R20_1	LFQ_intensity_R20_2	LFQ_intensity_R22_1	LFQ_intensity_R22_2	LFQ_intensity_R25_1	LFQ_intensity_R25_2	LFQ_intensity_R28_1	LFQ_intensity_R28_2	LFQ_intensity_R29_1	LFQ_intensity_R29_2	LFQ_intensity_R31_1	LFQ_intensity_R31_2	LFQ_intensity_R33_1	LFQ_intensity_R33_2	LFQ_intensity_R36_1	LFQ_intensity_R36_2	LFQ_intensity_R37_1	LFQ_intensity_R37_2	LFQ_intensity_R39_1	LFQ_intensity_R39_2	LFQ_intensity_R4_1	LFQ_intensity_R4_2	LFQ_intensity_R8_1	LFQ_intensity_R8_2	LFQ_intensity_R9_1	LFQ_intensity_R9_2
Multifunctional	Aldh4a1	B4F768	9349.8	0	0	0	5374	0	15312	19585	26992	21014	24571	41031	29732	27156	35426	36509	18772	18711	20579	20292	32278	32179	21734	23262	49061	50086	0	0	0	0
Pyridoxal	Plpbp	D3ZCA0	16404	18947	47625	48894	0	0	6289.1	23675	25941	23884	24910	7159.6	9854.8	0	40123	32257	19729	24975	16190	14285	0	14859	9221	20401	0	0	0	22049	17984	20278
Thioredoxin-related	Tmx3	M0R402	18212	15478	42324	45651	15525	7028	7205.4	7893.1	22163	22297	0	0	0	4387.7	0	2667.9	30053	25982	18161	23852	0	6256.3	14763	12305	10255	9522	27521	28218	36490	24126
Apoptosis-inducing	Aifm1	Q9JM53	0	0	0	12759	10355	9377.2	10659	12010	0	7080.7	2374.3	0	15466	6757.3	6203.3	0	25122	17166	9635.8	12089	3401.2	5056.4	0	8337.5	70752	62761	18202	7652.9	43935	40173
Sm	Snrpf	D4AAT4	0	0	0	0	16685	15144	0	0	0	0	0	0	9897.3	0	0	0	0	0	16722	16911	0	0	0	0	29499	28574	0	0	42252	51895
AP2-associated	Aak1	F1LRI7	0	0	11357	0	0	17016	17944	18807	18826	19741	22353	22696	21009	21166	21547	22034	13265	0	15160	18472	22270	24504	17667	21800	22561	23273	20380	18745	16420	13893
Protein	Memo1	Q4QQR9	0	0	0	0	0	0	43741	42951	24989	23482	0	0	8848.5	15870	0	0	0	0	26749	25251	20840	0	34685	32813	0	0	25461	20631	9807.5	0
Selenoprotein	Selenom	A0A0G2JZZ4	0	0	38390	20735	0	0	30098	34141	18812	17213	28054	26465	22521	23766	31231	35831	0	0	39576	28198	0	21277	47813	40536	0	0	14430	29463	0	0
Protein	S100b	P04631	10590	18790	0	0	0	0	0	18492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157080	157600	0	0	0	0
Syntaxin	Stxbp2	G3V637	0	0	0	0	5234.3	6026.4	0	1424.3	0	1599.2	1935.4	3147.6	873.45	0	0	0	3687.3	2791.1	4477.9	1310.5	0	2476.7	0	0	0	0	0	0	89256	74134
Protein	Abhd14b	Q6DGG1	35641	37020	30519	32901	0	9154.3	0	5028	15664	13511	0	0	0	28783	34829	34000	35881	30038	8010	9507.2	8766.6	10375	7272.7	13981	46684	48006	20697	22816	14182	15687
Glycerol-3-phosphate	Gpd2	A0A0G2K1F9	0	0	0	1197.5	19407	47333	15983	12279	3475.1	6877.4	24787	0	0	33392	33534	24260	20248	23441	20736	21478	27755	47328	0	5055.7	24154	45231	0	0	17143	18369
Complement	C5	A0A096P6L9	0	0	10805	18302	0	2582.7	16324	9877.7	19610	30861	12463	0	8064.7	0	6263.8	0	0	0	5155.5	4765.5	7677.1	0	92915	74809	0	0	7411.3	6519.7	0	0
Serine/threonine-protein	Pak3	Q62829	0	0	0	0	0	206810	0	0	0	109630	0	0	132940	0	189550	0	0	0	0	0	170600	0	0	0	0	0	0	0	0	0
Cellular	Crabp1	P62966	376190	0	0	0	0	0	10750	11024	13592	9692.1	17856	22133	38347	39598	15896	6727.8	0	0	13521	15790	9183.1	11546	13440	22111	0	0	19266	16724	13759	16627
Mitochondrial	Timm8a	Q9WVA1	0	0	0	33451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16094	0	0	0	55796	35433	47069	106860	78151	57355	43362
Hebp1	Hebp1	B4F7C7	0	0	0	0	0	0	0	124200	122830	0	0	37811	0	53457	35459	28357	26619	22562	0	0	0	0	0	0	0	0	0	41947	65514	72634
Target	Tom1	Q5XI21	0	0	0	0	0	7498.5	19754	20230	20608	21033	21311	27843	19767	21990	21825	17386	0	4371.3	24086	22102	0	10474	18441	16801	10914	15466	10096	11435	55198	59456
Mitochondrial	Timm13	P62076	0	0	0	0	9516.3	0	10578	10541	10066	9873.2	0	0	21130	20679	2809.8	0	24466	10543	10051	6192.9	14245	13289	10447	11388	15817	15004	19513	20617	55198	64196
3	Hsd3b	P22072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105970	309400	26174	0	0	0
Protein	Mtdh	Q9Z1W6	0	0	14298	0	7076.1	0	16501	16971	15766	14596	9815.2	13020	17663	20010	23614	24704	0	0	26587	31146	17151	21002	22857	21034	0	13276	11141	13504	16844	12891
Methylmalonyl-CoA	Mmut	D3ZKG1	0	0	0	8497.5	11470	6923.1	23742	31919	0	0	22438	27215	0	30707	38918	36472	0	0	34711	34110	22288	0	48199	33981	84764	62712	0	0	0	0
Insulin-degrading	Ide	A0A0G2K7Q7	0	0	0	0	17749	0	17888	18758	13809	11445	7950.5	8229.6	4966.3	2407.8	0	0	6265	8468.3	19433	27621	0	0	23744	25182	0	0	8950.9	13303	16860	18384
Nipsnap	Nipsnap3b	Q5M949	0	0	4245.8	3668.6	3220.6	0	30840	29478	0	2060	0	3400.5	0	0	0	0	0	0	27199	25711	0	0	22091	22994	0	0	0	0	161890	167220
Proteasome	Psmb5	G3V7Q6	0	0	6138.1	0	11908	13227	9761.4	10023	11698	7689	7755.8	5749.4	16667	18744	2252.6	9993.1	11002	16343	25509	20524	7725	9653.6	6236.6	20964	0	0	0	0	86054	79094
Serine/threonine-protein	Ppp5c	Q64538	12422	0	25454	28068	0	0	20880	22353	24935	24355	0	0	0	0	0	9031.9	10575	6367.5	20953	21474	0	0	32841	22349	0	0	16663	13411	33655	49126
Isoform	Tmlhe;sp|Q91ZW6|TMLH_RAT	Q91ZW6-2	0	0	0	0	0	10598	19731	17840	20010	18109	14196	0	19238	0	14927	0	12746	10074	23129	24017	0	19834	21569	20735	0	21196	15334	14342	0	0
Polypyrimidine	Ptbp3	A0A0G2JV54	0	9317.9	28085	19659	16631	13880	0	5502	10718	30359	11605	10145	9552.7	5826.8	13244	9345.4	35125	18454	14883	34276	10017	10963	0	34816	19711	12920	16246	21007	40523	44844
Decay	Daf1	A9CMA5	0	0	204240	215140	0	0	220.82	0	149.95	324.86	0	194.74	0	0	0	552.98	0	0	0	0	0	0	0	108.22	0	0	0	0	0	0
Histidine	Hint2	D4AB01	0	0	20500	10811	0	8059	13331	12063	12647	14664	7248.3	8506	15895	15343	18514	17960	16118	15303	16690	15760	8704.4	11782	16813	18941	33626	39078	12805	10737	15782	13282
Complement	C1r	D4A1T6	21388	0	11471	31179	20716	21821	21889	16818	28462	29742	0	25981	28014	0	0	55493	0	0	8903.2	8989.6	22361	20621	27034	20870	0	0	14083	13352	0	0
Calcium-binding	Q7M079	49773	49382	0	0	46386	30128	0	0	0	0	0	0	0	0	0	0	96764	81083	28837	0	7525.3	0	0	13731	0	0	0	0	57859	34796
Drebrin	Dbn1	C6L8E0	79543	77339	44000	33861	0	0	0	9248.9	0	0	0	0	110340	119440	0	21298	0	0	37114	45435	0	0	30973	0	40841	26192	0	0	0	0
Leucyl-tRNA	Lars	Q5PPJ6	0	0	0	0	14783	13203	13307	12518	10417	11839	10621	13565	0	0	0	0	10657	14151	11704	11853	7040.7	7951.5	8070.4	14170	0	0	11355	14398	33444	33632
Serine	Serpina3m	F1LR92	34052	39521	0	0	7002.5	0	13613	17526	18765	14089	0	0	40228	32489	33313	34737	0	0	7712.4	8251.7	15932	16569	26852	29418	25471	16553	7051.2	9594.4	0	0
Protein	Sec61a1	P61621	0	0	15192	17305	28304	28361	0	0	0	0	0	0	0	0	0	5473	18813	0	24980	11362	16120	16301	31534	30625	58432	53875	31377	0	18962	26220
WD	Wdr61	Q4V7A0	0	0	22083	0	17534	21158	19664	31240	28672	29129	22554	21481	13845	28779	19307	0	15950	12417	21636	22420	21137	0	28266	33911	0	0	0	16909	18142	15120
Ferrochelatase	Fech	D3ZBM3	8668.6	18410	26302	38301	7439	10162	18271	13059	21299	21956	30112	44310	12152	14926	47431	44721	13390	17720	12640	17614	24760	31967	20611	21058	0	18570	20146	19291	0	0
Dipeptidyl	Ctsc	P80067	0	0	18741	1826.2	21740	21457	28598	25574	17440	16574	9811.5	6762.3	0	4220.2	18039	17463	5008.3	0	44398	38932	0	0	26824	23651	0	0	10909	0	34810	38957
Uncharacterized	Marcksl1	A0A0G2K613	0	0	0	0	0	0	0	0	0	27808	0	0	80244	91303	0	0	0	0	53761	47048	0	22333	35481	32798	51124	43855	5461	0	0	0
Prospero	Prox1	D3ZU00	0	0	17379	6625.1	0	17262	93252	99379	33702	33759	8059.8	41756	0	38910	0	33677	0	24000	63115	58062	0	0	38955	16460	0	0	23840	23407	0	0
Nuclear	Nup98	P49793	0	0	0	106860	0	118580	0	0	0	0	46908	0	0	108790	0	72346	53040	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryotic	Eif5b	A0A0H2UHV4	8996.6	7512.6	0	0	25127	22101	16504	17115	10348	8663.8	7966.4	11980	14940	13611	0	0	21440	22753	14475	20055	0	8710.9	10663	13443	10611	10805	13261	9313.1	35223	38584
Mitogen-activated	Map3k20	D4AE17	0	0	12582	10750	9979.9	9947.2	18555	18102	9451.5	13625	7971.5	4064.2	23554	13024	16083	12288	1211.6	8052.3	21076	25053	21082	24352	13203	12292	0	0	11770	16478	0	0
von	Vwf	F1M957	14526	20960	49289	37002	0	6730.6	23404	17869	18272	19922	31460	27210	0	0	27609	22549	0	0	14892	12979	14351	6749.1	0	8517.1	26227	26087	0	23458	11910	14319
C-1-tetrahydrofolate	Mthfd1	Q5EBC3	2824.4	0	13803	7938.9	16376	4717.9	3059.4	0	4583.4	2795.6	4800.2	6329.4	4171.6	2842.6	5207	5993.8	37011	62506	2197.8	4253.4	0	0	1187.4	1884.3	16553	10345	0	1369.1	35845	42554
Collagen	Col4a4	A0A0G2K742	0	173570	32199	66276	0	0	0	0	32501	25789	0	0	0	0	39678	0	46751	59326	0	0	35762	0	0	0	0	0	15607	12622	0	52536
Pulmonary	Sftpd	A0A0G2JUF5	0	0	288100	289440	0	0	0	2537.9	0	0	0	0	0	4697.8	0	2975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-phosphoadenosine-5-phosphosulfate	Papss1	B2RYI8	0	0	0	8266.5	17478	15721	26392	33079	10643	10848	10086	5677.6	20269	20673	6055.3	0	0	5788.6	16919	14199	11391	22056	28836	24504	14320	11994	13992	14926	12372	12481
Ankyrin	Ankfy1	D4A1J6	17475	13644	0	0	23504	22656	16366	17790	10246	0	0	0	21684	34622	14955	15570	33539	35843	21901	20965	21566	15878	15772	17800	47777	39617	39398	0	17875	17963
Alpha-mannosidase	Man2b1	Q6P762	0	0	0	5574.3	25366	22297	10964	15851	28200	14656	19587	26656	8540.4	9223.9	10182	1521.3	7500.9	0	21387	27880	12786	12104	10006	9339.1	0	2995.2	10210	7727.6	36214	35215
Fumarylacetoacetate	Fahd2	B2RYW9	0	0	39228	33802	13914	0	24129	25990	28074	27649	33800	31726	0	12311	31698	32116	0	0	25357	27687	23753	31151	27584	28788	30239	45053	30031	33306	0	0
Insulin-like	Igf2bp2	D3ZWZ6	10056	0	0	0	23207	24803	0	0	0	0	0	0	0	0	0	0	22921	27381	0	4671.1	0	0	0	0	0	0	0	0	78696	57061
ATP-binding	Abcf1	Q6MG08	0	0	0	0	21546	22145	17588	13470	18885	20888	0	11837	12645	17174	0	0	0	6532.5	19808	15123	10872	0	20745	18767	5969.2	0	8569.8	0	39165	33361
Alpha-mannosidase	Man2c1	Q5M9I2	0	0	22125	9861.9	6631.6	0	25694	22832	32440	24612	20015	21236	0	22293	0	16807	0	0	34780	26573	15337	10170	28447	25128	0	0	7445.7	7192	0	0
Replication	Rpa1	A0A0G2KAT3	0	0	9091.8	12718	19613	17359	20421	0	19160	28407	23206	26964	19226	19732	20572	21179	32795	28392	31425	28577	0	0	26921	24293	0	10453	15800	0	66727	64556
Solute	Slc16a4	Q5U2P9	0	0	0	0	31380	36206	0	0	0	0	0	38634	45334	47998	57242	51787	0	0	0	0	27178	29932	0	0	52162	43250	0	0	0	38407
Ring-box	Rbx1	Q498D8	0	0	0	0	0	0	0	13583	0	15519	22391	0	30845	28062	0	0	0	28922	14029	7172.3	0	13637	0	0	34946	38687	28379	28945	24304	27703
Tubulin-specific	Tbcd	F1M1D5	0	0	0	0	20899	20843	19545	16676	23049	22736	29581	29888	35099	35940	18551	20006	8016.7	0	27996	26966	21181	20410	31142	29436	0	11160	13658	16411	42899	39293
Non-specific	Mapkapk2	F1M9C0	0	0	20941	19462	25566	30795	29972	22497	6340.5	28273	0	28943	34766	33627	31651	0	0	0	29533	28846	25032	0	36430	43025	0	0	18835	19691	30745	27323
26S	Psmd8	Q3B8P5	0	0	3189.7	0	26172	15373	26588	39536	30050	43682	0	0	0	0	0	0	18248	27996	33023	28193	28105	26761	34072	35930	29792	37816	24809	17925	0	0
Ribulose-phosphate	Rpe	Q3MIF0	0	0	32925	25216	0	20395	20492	21185	26649	23147	0	0	28626	28479	37689	38842	21074	21925	25874	28204	19978	19749	21238	22982	57509	53252	0	0	22189	20662
Acetylserotonin	Asmtl	D4AA35	18112	16942	0	5829.9	8690.6	10410	13078	13992	12945	7508.8	10847	6898.5	10997	12190	14681	11778	11430	17481	16274	14441	22719	17009	13492	12236	24869	24624	26738	23639	8717.7	7443.3
Prostaglandin	Ptgfrn	F1M790	12615	13930	0	0	13799	15924	22564	24380	16850	16531	12459	14411	24090	26951	32618	31111	0	11580	41912	41526	21927	21010	27965	27953	0	0	17714	22014	0	0
Family	Fam120a	D4AB03	0	0	26379	38455	9259.3	0	20571	23642	0	13577	24688	6323	13874	14873	12166	19738	11833	9522.1	29217	21742	15436	22207	19943	21922	0	4117.8	17744	0	10325	9995.4
Atriopeptidase	Mme	A0A0H2UHX5	0	0	81495	104490	12407	0	7660	0	0	0	14914	5106.8	0	10619	40249	19489	12572	16158	34816	40923	0	17433	23130	8264.2	0	0	0	0	0	0
Splicing	Sf3a2	Q6AXT8	44858	5507.3	23244	13455	8664.3	0	17365	14378	35717	23487	17441	18819	0	0	2875.7	11012	0	0	40373	30805	0	0	23116	25003	0	0	15188	14496	0	0
Tax1-binding	Tax1bp3	A0A1W2Q5Z6	0	0	0	22952	20153	16948	26321	27120	18788	26130	28936	0	15046	15223	13425	15115	0	0	17802	21261	17451	0	28766	28744	14102	14778	15800	14598	18022	18809
Muscleblind-like-splicing	Mbnl1	A0A0G2JX72	0	0	31826	37574	0	0	15820	18524	32535	35212	40542	45652	0	0	19566	26694	16965	15523	21663	23475	24864	24847	15999	15421	0	0	35322	36609	0	0
CUGBP	Celf1	Q4QQT3	0	0	0	8050	14561	9867.2	0	0	7243	6441.3	10981	0	5292.8	5905	12864	10307	10989	16812	9959.5	11558	4858.1	5477.2	3909.4	4478.8	0	0	11427	11840	53987	52740
Isoform	Baiap2l1;sp|Q3KR97|BI2L1_RAT	Q3KR97-2	0	0	0	111250	90730	108270	0	0	67114	67017	0	0	0	65295	0	85353	0	0	0	0	0	0	0	0	0	40063	0	0	0	0
Charged	Chmp5	Q4QQV8	0	0	0	0	75947	0	0	0	0	0	0	0	57321	0	0	0	0	0	0	0	0	0	0	0	86561	84992	0	0	57731	59227
Neurolysin	Nln	A0A0G2JVK4	0	0	0	0	5784	0	21149	20552	26160	28823	23759	11990	5601.3	8928.1	12033	1869.1	6926.1	8669.3	20094	22805	17594	18014	30598	28848	22913	21326	18967	17234	0	19079
LIM	Lima1	F1LR10	0	0	28999	10035	24347	19359	6504.4	0	2950.4	0	0	0	13500	15232	0	0	4975.5	0	8410.3	5367.6	3960.6	4118.7	4836.3	6900.9	29433	21446	0	0	58813	47359
H2-K	Pfdn6	Q6MGC4	2223.3	0	13726	15500	9240.7	12157	14101	20801	11595	14277	12766	12112	5439.7	3961	8271	0	17210	14849	17885	19706	13107	7674.3	22388	24945	5903.3	6345.5	16387	16871	16745	17166
H2-K	Slc39a7	Q6MGB4	0	0	0	0	10437	10318	0	0	16340	0	0	0	22366	0	0	0	0	20397	14227	13124	0	7243.9	0	0	32297	32287	0	9218.3	73991	70233
Meiosis	Sfr1	A0A0H2UHK0	0	0	13521	7546	5281.6	9525.7	10951	10940	9618.1	9164	10308	9671	16621	18292	15415	14751	14279	2219.5	14442	19692	9398.6	8619.5	14832	17825	14206	14393	0	9095.9	11912	13125
Eukaryotic	Eif3k	A0A0G2JU77	0	0	0	7362.8	12719	13072	7412.9	6918.2	11860	10463	10407	8949.3	20785	20721	10562	13678	20246	17760	14781	15584	5517.3	8205.2	0	0	4954.8	5003.3	11716	12573	38785	37819
GTP-binding	Gtpbp1	D2XV59	0	0	0	0	3365.7	0	0	108620	0	0	0	73449	0	0	0	111180	0	0	0	45938	99219	103860	115480	0	0	0	0	0	0	0
Syntaxin-binding	Stxbp1	P61765	7406.3	8706.6	14782	13250	0	0	27879	29910	25589	27606	23515	27811	6642.5	15894	23733	22301	3082.4	4743.1	27665	28600	19213	20204	31996	29076	0	0	16174	18353	0	0
Acyl-CoA	Acot9	Q5U2X8	17263	10610	16529	20676	14460	17794	0	8251.4	10360	9175.5	13959	17143	17372	17160	18353	19069	13137	11853	4086.8	11006	16127	20045	0	4682.4	37465	30053	21575	21476	7970.3	8987
cAMP-dependent	Prkacb	P68182	14027	12241	51008	44788	0	3828.6	14634	0	11708	11445	35162	15374	4347.1	10424	28370	25350	25051	27320	21536	21454	13823	17070	19665	21345	18701	18052	17105	20991	0	0
Keratin	Krt6a	Q4FZU2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41201	44212	0	0	0	0	80087	91602	0	3087.2
mRNA	Rnmt	Q5U2U7	16436	24125	25810	0	33991	37198	0	0	0	0	39544	37471	24137	0	0	14169	27453	22435	54664	51468	21752	0	42892	37746	0	0	24302	26280	16349	18410
Adiponectin	Adib	A0A3B0IYY4	0	0	0	0	59123	68724	0	32861	0	54877	0	0	49463	55703	0	0	0	0	20183	12770	45215	44402	0	32831	20704	19682	32895	0	15325	14733
RNA-binding	Rbmxl1	A0A0A0MXW9	26980	24416	34471	44681	1941.8	0	29085	29117	25095	23380	30039	29967	0	1736.7	7144	11735	13244	11598	54179	39276	0	0	20188	22114	0	0	20400	26421	0	0
RAS-related	Rras2	A0A0G2K508	0	0	0	2689.2	27120	26347	3844.6	3242.3	3679.2	3119	0	0	0	4157.2	3977.2	0	20177	16150	0	6646.9	9957.3	0	0	2787.8	0	2528.8	0	0	62486	57223
Mitochondrial	Mrps36	M0R776	7418.5	0	19397	20396	11353	10783	17750	16031	7932	13140	20656	21143	32882	40600	0	8350.1	22440	22422	15430	14603	7519.9	10225	13984	12587	0	34855	23267	22940	13747	13089
Voltage-dependent	Cacng2	Q99PR9	0	0	0	0	211650	219040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beta-2-microglobulin	B2m	P07151	36565	36272	212410	216280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25699	33380	0	0	0	28196	0	0	11596	0	0	0
Developmentally-regulated	Drg2	A0A0G2KAI8	0	0	22491	21605	15269	16786	10904	0	0	8224.6	31712	14756	12942	16036	21808	23485	7388.2	15983	11355	12490	13737	15518	11043	17871	26325	10707	11240	13779	22372	22671
Protein-tyrosine-phosphatase	L-CA	Q6LDZ3	0	0	0	0	0	0	8041.4	8651.2	4509	4841.1	0	0	0	0	0	0	0	0	12234	14945	0	0	0	5738	0	0	6321.2	7490.1	11930	11988
Dolichyl-diphosphooligosaccharide--protein	Stt3b	B2RYD7	0	0	0	0	0	0	19645	11273	0	11116	27706	0	0	0	0	0	28714	26419	18143	13430	2596.2	1928	0	0	33885	36598	13838	17699	59843	15255
Membrane	Ms4a6bl	Q5XIJ0	0	0	0	15638	0	13452	48444	46418	26341	25723	53955	63554	16285	0	28704	26448	0	0	29444	31235	0	27750	38663	32979	0	0	26052	0	29491	31011
Fatty	Fabp5	P55053	8687.5	0	62305	60962	11164	12156	0	7545.7	3728.6	4502.8	7204.5	15421	0	0	11549	12149	10630	15223	9305.2	11421	0	0	0	1218.2	33792	36714	4531.2	1264.6	12560	11857
Receptor	Reep5	B2RZ37	0	0	6092.8	7241.3	0	0	5091.3	2504.8	0	0	3340.2	0	0	0	0	0	3829.6	3878.5	351.17	0	0	0	7002.7	7218.9	2167.1	2052.8	1052.4	0	90124	84008
Nicalin	Ncln	A0A0H2UHD9	0	0	0	0	4861.7	0	7748.8	10167	8227	6232.9	2581.3	2602.2	5662.9	0	0	0	5741.1	11053	7816.8	8176.4	0	0	0	7526.4	6592	6845	854.59	10970	59394	67759
4-alpha-glucanotransferase	Agl	D4AEH9	0	0	11219	8274.7	0	4677.8	23361	26467	11244	7847.5	16422	15167	8562.3	1980.1	0	5825.5	0	5355.1	18173	14821	19294	18961	25045	24512	0	0	13767	18603	3850	0
Zinc	Znf22	Q9ERU2	17186	10561	24302	27001	0	0	0	0	6748.4	7007.6	12332	11385	0	0	37805	39632	16866	13765	29904	21421	0	0	0	0	53734	61640	0	0	0	0
Nuclear	Nf1x	F2Z3R4	11556	19106	14917	18670	0	0	19475	0	17409	15560	24226	22735	15690	0	50594	36479	0	0	11572	15443	14395	16272	12980	13299	15862	16806	0	0	0	0
Proteasome	Psmb10	Q4KM35	17633	18752	0	0	0	0	20934	23360	22870	26040	0	0	15594	9246.9	0	0	0	0	23218	21582	0	1657.7	25975	21109	44922	39970	15081	12647	3777.3	7596.8
GDP-Man:Man(1)GlcNAc(2)-PP-Dol	Alg2	G3V6U3	0	0	6489.4	8410.3	0	0	16637	15357	21875	13137	18814	23633	14298	10271	21067	19867	0	0	26854	26211	22744	19592	17305	17095	15380	16162	0	10404	4742.8	3646
Cullin-3	Cul3	A0A0G2JSP3	10811	8923	0	41635	22512	29023	18766	18946	16080	15965	21264	22662	16124	13914	0	5287.7	17035	15810	14518	8798.8	12048	11416	11596	16416	26237	26456	16514	15933	14184	13068
Peptidyl-prolyl	Ppil1	Q4KLI4	0	0	0	17939	15520	17039	10598	11657	17389	11082	41520	39437	33128	34555	30001	26555	22486	20655	17200	16243	8593.6	9279.9	8144.8	8247.4	16022	9286.2	24598	12490	0	46169
Secretory	Scamp2	Q9ERM7	8739.4	0	0	6371.9	25978	29602	18903	20990	25195	27372	14555	14500	20780	21187	0	5993.1	17618	15361	25766	24913	21638	21410	23294	21222	23702	19657	24047	25808	3215.4	15131
Spectrin	Sptan1	Q6IRK8	0	0	0	3085	18906	11747	20494	28838	4772.7	0	19559	25650	32115	22930	39357	26584	0	0	32456	36440	43051	42892	0	11091	0	0	0	32479	0	0
RNA	Ddx42	D4A031	0	7269.7	0	25014	0	21504	0	0	26201	23525	14926	13908	23652	23756	28330	29936	12796	8177.4	25990	24492	0	0	29946	27162	49757	48785	15923	0	20946	19888
ADP-ribosylation	Arf6	P62332	12576	19444	26360	30264	0	0	10912	7892.1	18834	23548	0	0	0	0	0	11786	26006	21380	7979	12260	0	0	9804.7	9280.6	0	30236	16866	33826	8195.5	9061.1
Metaxin	Mtx2	Q5U1Z9	0	0	23660	28858	0	0	42512	53696	50011	48963	0	5109.3	55817	0	0	21829	0	0	32352	28468	0	0	17336	20847	0	0	26663	30020	0	0
RAB11	Rab11fip5	A0A0G2K4A0	0	0	0	6311.3	0	0	0	0	0	7576.2	16459	15608	0	0	0	0	0	0	0	0	0	0	0	3975.6	0	0	0	0	0	0
Metalloreductase	Steap3	A0A0H2UI26	0	0	0	0	0	4184.8	11729	12970	62399	57455	76303	70106	13210	16969	13356	13122	0	0	28952	30342	12936	14771	25780	26104	0	0	17820	18686	0	0
SPARC-related	Smoc1	Q6IE50	0	0	0	0	4927	5734.5	21940	13537	16308	13660	0	0	48576	47423	2772.4	3709.4	0	0	9779.7	8713.1	44533	61184	14046	13331	11333	12045	16415	17471	0	0
RUN	LOC100910755	D3ZSW9	0	0	0	0	44615	42472	0	0	0	0	0	0	0	0	0	0	14693	0	0	0	0	0	0	0	0	0	0	0	45629	45663
Nucleolar	Nol3	Q62881	0	0	0	0	22616	20906	14773	12377	13221	13763	0	13399	12589	13954	17888	15352	10329	7441.6	16945	15034	7772.5	0	6788.5	6540.5	0	7659	8114.9	9226.7	27646	40305
Disks	Dlg1	A0A0G2K1M2	8461	8696.2	19154	14590	0	0	26042	24872	36739	38098	11240	30635	26508	23112	35206	40703	5636.4	5395.3	40408	37593	26921	22757	34991	38695	0	0	18048	19635	0	0
Tricarboxylate	Slc25a1	P32089	0	0	20631	16907	13374	13918	33541	32780	43654	40580	19422	19968	0	3694.3	6791.2	0	23555	27087	34639	30590	17742	21691	29310	32682	0	0	31278	32227	20458	18940
Long-chain	Slc27a1	Q6GMM8	21353	26386	22168	19794	15280	18506	11981	9042.6	13102	11786	20079	24232	17179	18533	31160	32026	6595.9	0	8941.8	13263	14359	16578	12443	10120	18246	17745	15406	15722	0	0
Nodal	Nomo1	D3ZSA9	0	0	0	0	12013	0	4329.9	5498.7	0	8589.8	0	2635.6	0	5004.3	0	0	0	742.42	7692.3	8912.2	744.29	0	5280.3	14871	7661.1	5772.4	2568	0	48663	55416
Synaptobrevin-2	vamp2	Q9WUW2	1068	0	16151	14898	14946	18434	19208	19651	0	22983	26423	30206	41010	41318	35955	38309	21128	19084	31555	26474	29828	25826	0	18259	14665	15998	25234	28568	14581	17148
Nipsnap1	Nipsnap1	Q5EBA4	0	0	26752	25952	11281	10456	22224	24749	24731	23723	26974	26471	10980	11257	20636	21080	20196	23427	22203	23930	20596	21388	26504	25373	0	0	20906	23671	9723.9	5211.8
DNA	Mcm4	G3V681	0	0	0	0	10653	2338	0	0	0	0	0	0	0	0	0	0	16189	4904.8	0	0	0	0	0	0	0	0	0	0	77313	68198
Polypyrimidine	Ptbp1	A0A1W2Q6A9	0	0	0	0	30097	28541	24323	20343	0	0	0	7999.7	0	41140	39630	49962	0	13289	0	0	0	0	0	0	90087	89626	0	0	0	101870
Ubiquilin	Ubqln1	A0A140TAI1	0	0	0	0	0	118390	16597	18283	25644	35577	15483	0	16663	0	14199	0	0	0	32500	31330	0	0	29120	34898	15335	0	0	0	32804	33718
Integrin	Itga2	A0A0G2K470	0	0	0	832.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2285.6	0	0	0	0	0	0	0	0	0	68178	69425
AP-2	Ap2s1	P62744	0	0	0	5307.2	23475	15694	19216	17677	28970	22584	12407	17542	23257	0	0	16323	16546	17139	15889	24292	17759	24062	17140	40168	0	0	20885	22590	13164	16060
Ral	Ralgapa2	D3ZKI6	0	0	0	0	0	0	133410	54965	0	0	0	0	0	0	0	0	35408	19872	0	0	0	0	0	2138.7	0	0	0	0	0	0
Fam45a	Fam45a	B2RZA3	7445.4	9273.2	0	0	16040	0	21764	20937	24585	25281	19087	18320	20055	19267	33404	16607	14834	0	20293	18795	19495	18363	21477	20365	24795	25443	15241	15395	30741	27019
Microsomal	Mttp	D4A1W8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13976	10648	0	0	0	0	0	0	0	0	0	0	34871	47979
